decile,customers,pred_sum,actual_sum,pred_per_cust,actual_per_cust
10,935,813.2677108125299,783.3999977111816,0.869805038302171,0.8378609601189109
9,935,376.03478555624406,488.9699969291687,0.40217624123662465,0.5229625635606082
8,935,252.66680356720096,374.18999767303467,0.2702318754729422,0.4002032060674168
7,935,201.89883373567008,114.27999901771545,0.215934581535476,0.12222459787990958
6,935,172.5239196701165,286.1799988746643,0.18451756114450962,0.3060748651065928
5,935,149.73261637266626,85.07999992370605,0.1601418356926912,0.0909946523248193
4,935,127.05603471202483,126.10999965667725,0.1358888071786362,0.13487700498040348
3,935,102.12059773963091,94.96999931335449,0.10921989063062129,0.10157219177898877
2,935,78.70395899196119,96.44999885559082,0.08417535721065368,0.1031550789899367
1,936,45.561649771124785,10.0,0.048676976251201695,0.010683760683760684
